Stt,CarrierFreq,Anten,ChannelFreq,Register,Value
2,2G,1,2447,0x5A,8384
1,2G,1,2422,0x59,8485
3,2G,1,2472,0x5B,C083
5,2G,2,2447,0x60,8384
4,2G,2,2422,0x5F,8485
6,2G,2,2472,0x61,C083
7,5G,1,4920,0x143,C7C4
8,5G,1,5080,0x144,C0C7
9,5G,1,5180,0x148,C4C4
10,5G,1,5240,0x149,40C4
11,5G,1,5260,0x14D,C3C5
12,5G,1,5320,0x14E,00C3
13,5G,1,5500,0x157,8383
14,5G,1,5580,0x158,C083
15,5G,1,5600,0x15C,8483
16,5G,1,5680,0x15D,C084
17,5G,1,5700,0x161,C181
18,5G,1,5785,0x162,C0C1
19,5G,1,5805,0x166,C2C2
20,5G,1,5825,0x167,C0C2
21,5G,2,4920,0x16B,C3C4
22,5G,2,5080,0x16C,40C3
23,5G,2,5180,0x170,80C1
24,5G,2,5240,0x171,4080
25,5G,2,5260,0x175,8180
26,5G,2,5320,0x176,0081
27,5G,2,5500,0x17F,C181
28,5G,2,5580,0x180,C0C1
29,5G,2,5600,0x184,84C1
30,5G,2,5680,0x185,C084
31,5G,2,5700,0x189,80C1
32,5G,2,5785,0x18A,C080
33,5G,2,5805,0x18E,80C1
34,5G,2,5825,0x18F,0080
