ChannelNumber,ChannelFreq (Hz),Anten1-Attenuator (dBm),Anten2-Attenuator (dBm)
1,2412,1.5,1.62
2,2417,1.5,1.6
3,2422,1.51,1.6
4,2427,1.5,1.62
5,2432,1.51,1.66
6,2437,1.51,1.66
7,2442,1.53,1.67
8,2447,1.52,1.62
9,2452,1.54,1.62
10,2457,1.54,1.62
11,2462,1.55,1.65
12,2467,1.55,1.65
13,2472,1.58,1.66
16,5080,2.71,2.79
34,5170,2.46,2.57
36,5180,2.52,2.6
38,5190,2.49,2.62
40,5200,2.56,2.64
42,5210,2.59,2.69
44,5220,2.61,2.64
46,5230,2.65,2.65
48,5240,2.65,2.63
50,5250,2.63,2.54
52,5260,2.6,2.55
54,5270,2.56,2.5
56,5280,2.54,2.5
58,5290,2.5,2.46
60,5300,2.49,2.52
62,5310,2.5,2.53
64,5320,2.57,2.6
100,5500,2.43,2.5
102,5510,2.4,2.46
104,5520,2.37,2.43
106,5530,2.39,2.43
108,5540,2.38,2.4
110,5550,2.42,2.47
112,5560,2.42,2.44
114,5570,2.41,2.47
116,5580,2.34,2.4
118,5590,2.34,2.38
120,5600,2.3,2.34
122,5610,2.35,2.43
124,5620,2.42,2.47
126,5630,2.45,2.5
128,5640,2.46,2.55
132,5660,2.45,2.52
134,5670,2.43,2.5
136,5680,2.44,2.5
138,5690,2.52,2.6
140,5700,2.54,2.62
142,5710,2.5,2.58
144,5720,2.51,2.66
149,5745,2.59,2.74
151,5755,2.68,2.8
153,5765,2.78,2.88
155,5775,2.82,2.93
157,5785,2.89,2.98
159,5795,2.94,3.06
161,5805,2.95,3.07
165,5825,2.94,3.06
169,5845,2.88,3.03
173,5865,2.74,2.96
184,4920,2.58,2.56
