Channel,Freq,Anten1,Anten2
1,2412,20.068,19.222
2,2417,19.962,19.255
3,2422,19.888,19.312
4,2427,19.695,19.37
5,2432,19.553,19.428
6,2437,19.45,19.482
7,2442,19.85,19.528
8,2447,19.752,19.55
9,2452,19.705,19.618
10,2457,19.522,19.645
11,2462,19.86,19.185
12,2467,19.735,19.235
13,2472,19.615,19.255
34,5170,18.14,17.875
36,5180,18.078,17.982
38,5190,17.877,18.085
40,5200,17.782,18.18
42,5210,18.1,18.158
44,5220,17.987,18.12
46,5230,17.807,18.132
48,5240,17.705,18.105
50,5250,17.655,18.112
52,5260,18.022,18.053
54,5270,18.025,18.132
56,5280,18.123,18.25
58,5290,17.65,17.405
60,5300,17.748,17.612
62,5310,17.925,17.78
64,5320,18.095,17.96
100,5500,17.8,17.97
102,5510,17.755,17.922
104,5520,17.715,17.845
106,5530,17.78,18.33
108,5540,17.725,18.2
110,5550,17.77,18.135
112,5560,17.808,18.038
114,5570,17.822,17.952
116,5580,17.78,17.825
118,5590,17.572,17.995
120,5600,17.702,18.045
122,5610,17.958,18.228
124,5620,18.105,18.312
126,5630,17.78,17.54
128,5640,17.88,17.595
132,5660,18.038,17.775
134,5670,18.038,17.848
136,5680,18.055,17.9
138,5690,18.115,18.032
140,5700,17.78,18.112
142,5710,17.825,18.19
144,5720,17.89,18.418
149,5745,18.53,17.012
151,5755,18.512,17.255
153,5765,18.475,17.525
155,5775,18.318,17.772
157,5785,18.165,17.992
159,5795,17.96,18.295
161,5805,18.13,17.995
165,5825,17.815,17.975
169,5845,17.71,18.308
173,5865,17.528,18.388
