Channel,Freq,Anten1,Anten2
1,2412,19.648,19.29
2,2417,19.638,19.452
3,2422,19.572,19.54
4,2427,19.585,19.645
5,2432,19.568,19.78
6,2437,19.485,19.862
7,2442,19.47,19.432
8,2447,19.358,19.485
9,2452,19.285,19.508
10,2457,19.232,19.54
11,2462,19.625,19.525
12,2467,19.485,19.468
13,2472,19.368,19.405
34,5170,18.275,18.342
36,5180,18.09,18.158
38,5190,18.012,18.008
40,5200,17.882,17.832
42,5210,18.697,19.232
44,5220,18.47,18.96
46,5230,18.205,18.56
48,5240,18.002,18.288
50,5250,17.725,18.018
52,5260,18.125,17.93
54,5270,18.013,17.718
56,5280,18.025,17.685
58,5290,17.572,17.73
60,5300,17.735,17.785
62,5310,17.93,18.032
64,5320,18.168,18.26
100,5500,18.312,17.998
102,5510,18.04,17.84
104,5520,17.833,17.63
106,5530,18.205,17.982
108,5540,18.155,17.89
110,5550,18.242,17.91
112,5560,18.275,18.008
114,5570,18.36,18.092
116,5580,18.265,18.145
118,5590,18.148,17.658
120,5600,18.228,17.85
122,5610,18.148,17.81
124,5620,18.01,17.748
126,5630,17.462,17.758
128,5640,17.485,17.792
132,5660,17.722,17.782
134,5670,17.915,17.82
136,5680,18.053,17.898
138,5690,18.38,18.042
140,5700,18.045,18.307
142,5710,18.412,18.505
144,5720,18.708,18.848
149,5745,18.612,17.982
151,5755,18.595,18.14
153,5765,18.418,18.19
155,5775,18.295,18.27
157,5785,18.322,18.305
159,5795,18.347,18.328
161,5805,18.105,18.062
165,5825,18.145,18.255
169,5845,18.623,19.102
173,5865,18.725,19.85
