RangeFrequency,Chuan WIFI,MCS,Power_MAX(dBm),Power_MIN(dBm),EVM_MAX,EVM_MIN,FreqError_MAX(Hz),FreqError_MIN(Hz),SymClock_MAX,SymClock_Min
2G,802.11b,0,25.5,21,35%,-,5000,-5000,-,-
2G,802.11b,1,25.5,21,35%,-,5000,-5000,-,-
2G,802.11b,2,25.5,21,35%,-,5000,-5000,-,-
2G,802.11b,3,25.5,21,35%,-,5000,-5000,-,-
2G,802.11g,0,25.5,21,-5,-,5000,-5000,-,-
2G,802.11g,1,25.5,21,-8,-,5000,-5000,-,-
2G,802.11g,2,25.5,21,-10,-,5000,-5000,-,-
2G,802.11g,3,25.5,21,-13,-,5000,-5000,-,-
2G,802.11g,4,25,20.5,-16,-,5000,-5000,-,-
2G,802.11g,5,25,20.5,-19,-,5000,-5000,-,-
2G,802.11g,6,22,17.5,-22,-,5000,-5000,-,-
2G,802.11g,7,22,17.5,-25,-,5000,-5000,-,-
2G,802.11nHT20,0,25.5,21,-5,-,5000,-5000,-,-
2G,802.11nHT20,1,25.5,21,-10,-,5000,-5000,-,-
2G,802.11nHT20,2,25.5,21,-13,-,5000,-5000,-,-
2G,802.11nHT20,3,25,20.5,-16,-,5000,-5000,-,-
2G,802.11nHT20,4,25,20.5,-19,-,5000,-5000,-,-
2G,802.11nHT20,5,21.5,17,-22,-,5000,-5000,-,-
2G,802.11nHT20,6,21.5,17,-25,-,5000,-5000,-,-
2G,802.11nHT20,7,20.5,16,-28,-,5000,-5000,-,-
2G,802.11nHT40,0,25.5,21,-5,-,5000,-5000,-,-
2G,802.11nHT40,1,25.5,21,-10,-,5000,-5000,-,-
2G,802.11nHT40,2,25.5,21,-13,-,5000,-5000,-,-
2G,802.11nHT40,3,25,20.5,-16,-,5000,-5000,-,-
2G,802.11nHT40,4,25,20.5,-19,-,5000,-5000,-,-
2G,802.11nHT40,5,22,17.5,-22,-,5000,-5000,-,-
2G,802.11nHT40,6,22,17.5,-25,-,5000,-5000,-,-
2G,802.11nHT40,7,22,17.5,-28,-,5000,-5000,-,-
5G,802.11g,0,24,19.5,-5,-,10000,-10000,-,-
5G,802.11g,1,24,19.5,-8,-,10000,-10000,-,-
5G,802.11g,2,24,19.5,-10,-,10000,-10000,-,-
5G,802.11g,3,24,19.5,-13,-,10000,-10000,-,-
5G,802.11g,4,23,18.5,-16,-,10000,-10000,-,-
5G,802.11g,5,23,18.5,-19,-,10000,-10000,-,-
5G,802.11g,6,20.5,16,-22,-,10000,-10000,-,-
5G,802.11g,7,20.5,16,-25,-,10000,-10000,-,-
5G,802.11nHT20,0,24,19.5,-5,-,10000,-10000,-,-
5G,802.11nHT20,1,24,19.5,-10,-,10000,-10000,-,-
5G,802.11nHT20,2,24,19.5,-13,-,10000,-10000,-,-
5G,802.11nHT20,3,23,18.5,-16,-,10000,-10000,-,-
5G,802.11nHT20,4,23,18.5,-19,-,10000,-10000,-,-
5G,802.11nHT20,5,19.5,15,-22,-,10000,-10000,-,-
5G,802.11nHT20,6,19.5,15,-25,-,10000,-10000,-,-
5G,802.11nHT20,7,21,16.5,-28,-,10000,-10000,-,-
5G,802.11nHT40,0,24,19.5,-5,-,10000,-10000,-,-
5G,802.11nHT40,1,24,19.5,-10,-,10000,-10000,-,-
5G,802.11nHT40,2,24,19.5,-13,-,10000,-10000,-,-
5G,802.11nHT40,3,23,18.5,-16,-,10000,-10000,-,-
