Channel,Freq,Anten1,Anten2
1,2412,19.495,19.35
2,2417,19.641,19.456
3,2422,19.792,19.473
4,2427,19.848,19.592
5,2432,19.877,19.66
6,2437,19.935,19.778
7,2442,19.425,19.355
8,2447,19.569,19.434
9,2452,19.552,19.47
10,2457,19.516,19.618
11,2462,19.472,19.618
12,2467,19.498,19.627
13,2472,19.482,19.65
16,5080,19.534,19.16
34,5170,18.204,18.064
36,5180,18.15,18.282
38,5190,18.074,18.33
40,5200,18.066,18.488
42,5210,19.04,18.668
44,5220,18.773,18.536
46,5230,18.586,18.494
48,5240,18.272,18.26
50,5250,18.063,17.974
52,5260,18.014,18.057
54,5270,18.02,17.989
56,5280,18.001,17.894
58,5290,18.461,17.886
60,5300,18.33,17.788
62,5310,18.204,17.77
64,5320,18.148,17.909
100,5500,18.214,18.053
102,5510,18.428,18.245
104,5520,18.452,18.364
106,5530,18.108,18.391
108,5540,18.115,18.231
110,5550,17.979,18.056
112,5560,17.821,17.911
114,5570,17.798,17.934
116,5580,18.066,18.218
118,5590,17.828,18.202
120,5600,18.198,18.392
122,5610,18.358,18.496
124,5620,18.316,18.554
126,5630,16.857,17.646
128,5640,17.104,17.693
132,5660,17.721,17.864
134,5670,17.972,18.054
136,5680,18.285,18.168
138,5690,18.471,18.216
140,5700,18.305,18.344
142,5710,18.519,18.387
144,5720,18.61,18.388
149,5745,17.845,17.659
151,5755,18.166,17.905
153,5765,18.394,18.086
155,5775,18.385,18.059
157,5785,18.359,18.022
159,5795,18.29,18.057
161,5805,18.02,18.29
165,5825,18.07,18.194
169,5845,18.489,18.742
173,5865,18.159,19.511
184,4920,19.21,19.061
