Channel,Freq,Anten1,Anten2
1,2412,19.498,19.371
2,2417,19.672,19.498
3,2422,19.79,19.5
4,2427,19.912,19.659
5,2432,19.909,19.709
6,2437,19.984,19.812
7,2442,19.486,19.358
8,2447,19.608,19.476
9,2452,19.578,19.516
10,2457,19.559,19.61
11,2462,19.501,19.65
12,2467,19.548,19.688
13,2472,19.505,19.714
16,5080,19.504,19.184
34,5170,18.284,18.074
36,5180,18.197,18.254
38,5190,18.123,18.414
40,5200,18.058,18.504
42,5210,19.063,18.62
44,5220,18.827,18.552
46,5230,18.56,18.488
48,5240,18.294,18.289
50,5250,18.113,17.999
52,5260,18.09,18.062
54,5270,18.087,17.96
56,5280,18.003,17.966
58,5290,18.48,17.936
60,5300,18.348,17.833
62,5310,18.217,17.812
64,5320,18.152,17.896
100,5500,18.222,18.043
102,5510,18.39,18.253
104,5520,18.538,18.366
106,5530,18.133,18.372
108,5540,18.142,18.236
110,5550,17.983,18.096
112,5560,17.847,17.944
114,5570,17.798,17.94
116,5580,18.112,18.181
118,5590,17.82,18.219
120,5600,18.265,18.4
122,5610,18.386,18.519
124,5620,18.361,18.559
126,5630,16.895,17.671
128,5640,17.15,17.722
132,5660,17.759,17.901
134,5670,17.999,18.098
136,5680,18.276,18.173
138,5690,18.486,18.242
140,5700,18.334,18.35
142,5710,18.573,18.389
144,5720,18.615,18.397
149,5745,17.874,17.712
151,5755,18.196,17.903
153,5765,18.449,18.068
155,5775,18.443,18.069
157,5785,18.381,18.086
159,5795,18.392,18.14
161,5805,18.114,18.303
165,5825,18.15,18.218
169,5845,18.534,18.738
173,5865,18.203,19.519
184,4920,19.284,19.144
