ChannelNumber,ChannelFreq (Hz),Anten1-Attenuator (dBm),Anten2-Attenuator (dBm)
1,2412,4.21,4.16 
2,2417,4.2,4.15 
3,2422,4.23,4.17 
4,2427,4.28,4.24 
5,2432,4.3,4.25 
6,2437,4.34,4.23 
7,2442,4.34,4.2 
8,2447,4.34,4.16 
9,2452,4.37,4.18 
10,2457,4.34,4.16 
11,2462,4.35,4.2 
12,2467,4.36,4.21 
13,2472,4.39,4.24 
16,5080,7.31,7.05 
34,5170,7.29,7.53 
36,5180,7.35,7.73 
38,5190,7.38,7.89 
40,5200,7.41,7.87 
42,5210,7.33,7.77 
44,5220,7.27,7.86 
46,5230,7.38,8.06 
48,5240,7.55,8.25 
50,5250,7.57,8.25 
52,5260,7.43,8.33 
54,5270,7.42,8.5 
56,5280,7.61,8.45 
58,5290,7.78,8.19 
60,5300,7.88,7.84 
62,5310,7.79,7.68 
64,5320,7.66,7.75 
100,5500,7.47,7.38 
102,5510,7.55,7.29 
104,5520,7.49,7.08 
106,5530,7.38,6.94 
108,5540,7.31,6.89 
110,5550,7.38,6.94 
112,5560,7.49,7.09 
114,5570,7.58,7.27 
116,5580,7.62,7.45 
118,5590,7.59,7.51 
120,5600,7.66,7.49 
122,5610,7.74,7.42 
124,5620,7.78,7.42 
126,5630,7.8,7.47 
128,5640,7.75,7.5 
132,5660,7.52,7.54 
134,5670,7.55,7.48 
136,5680,7.52,7.32 
138,5690,7.39,7.25 
140,5700,7.26,7.28 
142,5710,7.21,7.28 
144,5720,7.23,7.23 
149,5745,7.31,6.96 
151,5755,7.29,6.96 
153,5765,7.24,7.06 
155,5775,7.25,7.24 
157,5785,7.41,7.39 
159,5795,7.62,7.43 
161,5805,7.73,7.46 
165,5825,7.87,7.84 
169,5845,8.49,8.71 
173,5865,8.57,9 
184,4920,6.58,6.92
