Channel,Freq,Anten1,Anten2
1,2412,19.653,19.129
2,2417,19.428,19.248
3,2422,19.239,19.248
4,2427,19.082,19.403
5,2432,18.934,19.524
6,2437,18.89,19.643
7,2442,19.273,19.227
8,2447,19.228,19.4
9,2452,19.118,19.41
10,2457,19.061,19.487
11,2462,20.046,19.578
12,2467,20.023,19.802
13,2472,19.58,19.155
16,5080,17.793,17.552
34,5170,17.888,18.016
36,5180,17.876,17.874
38,5190,17.784,17.72
40,5200,17.558,17.588
42,5210,18.419,17.6
44,5220,18.168,17.594
46,5230,18.01,17.62
48,5240,17.78,17.614
50,5250,17.629,17.631
52,5260,17.918,17.74
54,5270,18.182,17.976
56,5280,18.472,18.05
58,5290,16.776,18.17
60,5300,17.328,18.29
62,5310,17.85,18.225
64,5320,18.12,18.034
100,5500,17.723,17.839
102,5510,17.836,17.946
104,5520,17.836,18.071
106,5530,18.629,18.714
108,5540,18.556,18.76
110,5550,18.569,18.757
112,5560,18.364,18.573
114,5570,18.238,18.287
116,5580,17.984,17.948
118,5590,17.906,18.396
120,5600,17.867,18.233
122,5610,18.06,18.265
124,5620,18.16,18.396
126,5630,17.572,16.381
128,5640,17.691,16.63
132,5660,17.751,17.16
134,5670,17.789,17.551
136,5680,17.71,17.761
138,5690,17.59,17.968
140,5700,17.918,17.819
142,5710,17.888,18.013
144,5720,18.013,18.25
149,5745,18.27,18.054
151,5755,18.388,18.08
153,5765,18.301,18.08
155,5775,18.171,18.057
157,5785,17.932,18.064
159,5795,17.746,18.178
161,5805,18.068,17.982
165,5825,17.697,17.914
169,5845,17.626,18.28
173,5865,17.853,18.555
184,4920,18.084,17.791
