RangeFrequency,Channel,Center Frequency(MHz)
2.4G,1,2412
2.4G,2,2417
2.4G,3,2422
2.4G,4,2427
2.4G,5,2432
2.4G,6,2437
2.4G,7,2442
2.4G,8,2447
2.4G,9,2452
2.4G,10,2457
2.4G,11,2462
2.4G,12,2467
2.4G,13,2472
2.4G,14,2484
5G,7,5035
5G,8,5040
5G,9,5045
5G,11,5055
5G,12,5060
5G,16,5080
5G,34,5170
5G,36,5180
5G,38,5190
5G,40,5200
5G,42,5210
5G,44,5220
5G,46,5230
5G,48,5240
5G,50,5250
5G,52,5260
5G,54,5270
5G,56,5280
5G,58,5290
5G,60,5300
5G,62,5310
5G,64,5320
5G,100,5500
5G,102,5510
5G,104,5520
5G,106,5530
5G,108,5540
5G,110,5550
5G,112,5560
5G,114,5570
5G,116,5580
5G,118,5590
5G,120,5600
5G,122,5610
5G,124,5620
5G,126,5630
5G,128,5640
5G,132,5660
5G,134,5670
5G,136,5680
5G,138,5690
5G,140,5700
5G,142,5710
5G,144,5720
5G,149,5745
5G,151,5755
5G,153,5765
5G,155,5775
5G,157,5785
5G,159,5795
5G,161,5805
5G,165,5825
5G,169,5845
5G,173,5865
5G,183,4915
5G,184,4920
5G,185,4925
5G,187,4935
5G,188,4940
5G,189,4945
5G,192,4960
5G,196,4980
