Channel,Freq,Anten1,Anten2
1,2412,19.486,19.782
2,2417,19.478,19.826
3,2422,19.297,19.8
4,2427,19.21,19.7
5,2432,19.112,19.67
6,2437,19.044,19.71
7,2442,19.484,19.65
8,2447,19.486,19.689
9,2452,19.474,19.74
10,2457,19.476,19.821
11,2462,19.565,19.438
12,2467,19.508,19.497
13,2472,19.482,19.594
184,4920,23.362,22.781
16,5080,24.225,22.112
36,5180,18.252,18.099
40,5200,17.938,17.983
44,5220,18.235,18.452
48,5240,18.034,18.158
52,5260,18.245,18.048
56,5280,18.262,18.074
60,5300,18.32,17.844
64,5320,18.13,18.079
100,5500,18.255,18.094
104,5520,17.995,17.09
108,5540,17.33,18.175
112,5560,17.863,18.734
116,5580,17.94,18.224
120,5600,17.964,18.199
124,5620,18.078,18.664
128,5640,18.045,18.024
132,5660,18.164,17.854
136,5680,18.216,18.068
140,5700,18.244,17.982
144,5720,18.558,18.236
149,5745,17.29,17.036
153,5765,17.815,17.437
157,5785,18.22,18.018
161,5805,17.978,18.128
165,5825,17.848,17.962
42,5210,18.332,18.531
58,5290,18.282,17.952
106,5530,17.582,18.195
122,5610,18.004,18.431
138,5690,18.37,18.204
155,5775,18.16,17.754
