Channel,Freq,Anten1,Anten2
1,2412,19.447,19.289
2,2417,19.616,19.417
3,2422,19.729,19.444
4,2427,19.843,19.532
5,2432,19.837,19.601
6,2437,19.961,19.71
7,2442,19.404,19.28
8,2447,19.509,19.399
9,2452,19.495,19.454
10,2457,19.512,19.556
11,2462,19.438,19.553
12,2467,19.42,19.582
13,2472,19.422,19.613
16,5080,19.44,19.07
34,5170,18.188,17.992
36,5180,18.125,18.154
38,5190,18.068,18.296
40,5200,18.072,18.461
42,5210,18.954,18.58
44,5220,18.745,18.52
46,5230,18.481,18.428
48,5240,18.248,18.196
50,5250,18.067,17.935
52,5260,18.007,18.01
54,5270,17.992,17.911
56,5280,18.01,17.857
58,5290,18.416,17.851
60,5300,18.274,17.73
62,5310,18.187,17.742
64,5320,18.11,17.823
100,5500,18.127,17.978
102,5510,18.318,18.171
104,5520,18.425,18.316
106,5530,18.089,18.32
108,5540,18.086,18.16
110,5550,17.916,18.013
112,5560,17.736,17.86
114,5570,17.744,17.86
116,5580,18.033,18.062
118,5590,17.746,18.148
120,5600,18.177,18.317
122,5610,18.368,18.462
124,5620,18.275,18.492
126,5630,16.819,17.622
128,5640,17.046,17.632
132,5660,17.666,17.798
134,5670,17.949,17.989
136,5680,18.212,18.064
138,5690,18.423,18.131
140,5700,18.278,18.343
142,5710,18.487,18.346
144,5720,18.551,18.347
149,5745,17.742,17.614
151,5755,18.096,17.821
153,5765,18.356,18
155,5775,18.344,17.975
157,5785,18.28,17.963
159,5795,18.285,18.025
161,5805,17.967,18.268
165,5825,18.024,18.101
169,5845,18.426,18.659
173,5865,18.048,19.441
184,4920,19.193,19.002
