RangeFrequency,Chuan WIFI,MCS,Power_MAX(dBm),Power_MIN(dBm),EVM_MAX,EVM_MIN,FreqError_MAX(Hz),FreqError_MIN(Hz),SymClock_MAX,SymClock_Min
2G,802.11b,0,25,21,35%,-,3000,-3000,-,-
2G,802.11b,1,25,21,35%,-,3000,-3000,-,-
2G,802.11b,2,25,21,35%,-,3000,-3000,-,-
2G,802.11b,3,25,21,35%,-,3000,-3000,-,-
2G,802.11g,0,25,21,-5,-,3000,-3000,-,-
2G,802.11g,1,25,21,-8,-,3000,-3000,-,-
2G,802.11g,2,25,21,-10,-,3000,-3000,-,-
2G,802.11g,3,25,21,-13,-,3000,-3000,-,-
2G,802.11g,4,24.5,20.5,-16,-,3000,-3000,-,-
2G,802.11g,5,24.5,20.5,-19,-,3000,-3000,-,-
2G,802.11g,6,21.5,17.5,-22,-,3000,-3000,-,-
2G,802.11g,7,21.5,17.5,-25,-,3000,-3000,-,-
2G,802.11nHT20,0,25,21,-5,-,3000,-3000,-,-
2G,802.11nHT20,1,25,21,-10,-,3000,-3000,-,-
2G,802.11nHT20,2,25,21,-13,-,3000,-3000,-,-
2G,802.11nHT20,3,24.5,20.5,-16,-,3000,-3000,-,-
2G,802.11nHT20,4,24.5,20.5,-19,-,3000,-3000,-,-
2G,802.11nHT20,5,21.5,17.5,-22,-,3000,-3000,-,-
2G,802.11nHT20,6,21.5,17.5,-25,-,3000,-3000,-,-
2G,802.11nHT20,7,21.5,17.5,-28,-,3000,-3000,-,-
2G,802.11nHT40,0,25,21,-5,-,3000,-3000,-,-
2G,802.11nHT40,1,25,21,-10,-,3000,-3000,-,-
2G,802.11nHT40,2,25,21,-13,-,3000,-3000,-,-
2G,802.11nHT40,3,24.5,20.5,-16,-,3000,-3000,-,-
2G,802.11nHT40,4,24.5,20.5,-19,-,3000,-3000,-,-
2G,802.11nHT40,5,21.5,17.5,-22,-,3000,-3000,-,-
2G,802.11nHT40,6,21.5,17.5,-25,-,3000,-3000,-,-
2G,802.11nHT40,7,21.5,17.5,-28,-,3000,-3000,-,-
5G,802.11g,0,23.5,19.5,-5,-,7000,-7000,-,-
5G,802.11g,1,23.5,19.5,-8,-,7000,-7000,-,-
5G,802.11g,2,23.5,19.5,-10,-,7000,-7000,-,-
5G,802.11g,3,23.5,19.5,-13,-,7000,-7000,-,-
5G,802.11g,4,22.5,18.5,-16,-,7000,-7000,-,-
5G,802.11g,5,22.5,18.5,-19,-,7000,-7000,-,-
5G,802.11g,6,20,16,-22,-,7000,-7000,-,-
5G,802.11g,7,20,16,-25,-,7000,-7000,-,-
5G,802.11nHT20,0,23.5,19.5,-5,-,7000,-7000,-,-
5G,802.11nHT20,1,23.5,19.5,-10,-,7000,-7000,-,-
5G,802.11nHT20,2,23.5,19.5,-13,-,7000,-7000,-,-
5G,802.11nHT20,3,22.5,18.5,-16,-,7000,-7000,-,-
5G,802.11nHT20,4,22.5,18.5,-19,-,7000,-7000,-,-
5G,802.11nHT20,5,20,16,-22,-,7000,-7000,-,-
5G,802.11nHT20,6,20,16,-25,-,7000,-7000,-,-
5G,802.11nHT20,7,20,16,-28,-,7000,-7000,-,-
5G,802.11nHT40,0,23.5,19.5,-5,-,7000,-7000,-,-
5G,802.11nHT40,1,23.5,19.5,-10,-,7000,-7000,-,-
5G,802.11nHT40,2,23.5,19.5,-13,-,7000,-7000,-,-
5G,802.11nHT40,3,22.5,18.5,-16,-,7000,-7000,-,-
5G,802.11nHT40,4,22.5,18.5,-19,-,7000,-7000,-,-
5G,802.11nHT40,5,20,16,-22,-,7000,-7000,-,-
5G,802.11nHT40,6,20,16,-25,-,7000,-7000,-,-
5G,802.11nHT40,7,20,16,-28,-,7000,-7000,-,-
5G,802.11acHT20,0,23.5,19.5,-5,-,7000,-7000,-,-
5G,802.11acHT20,1,23.5,19.5,-10,-,7000,-7000,-,-
5G,802.11acHT20,2,23.5,19.5,-13,-,7000,-7000,-,-
5G,802.11acHT20,3,22.5,18.5,-16,-,7000,-7000,-,-
5G,802.11acHT20,4,22.5,18.5,-19,-,7000,-7000,-,-
5G,802.11acHT20,5,20,16,-22,-,7000,-7000,-,-
5G,802.11acHT20,6,20,16,-25,-,7000,-7000,-,-
5G,802.11acHT20,7,20.5,16.5,-27,-,7000,-7000,-,-
5G,802.11acHT20,8,19.5,15.5,-30,-,7000,-7000,-,-
5G,802.11acHT20,9,19.5,15.5,-32,-,7000,-7000,-,-
5G,802.11acHT40,0,21,17,-5,-,7000,-7000,-,-
5G,802.11acHT40,1,21,17,-10,-,7000,-7000,-,-
5G,802.11acHT40,2,21,17,-13,-,7000,-7000,-,-
5G,802.11acHT40,3,21,17,-16,-,7000,-7000,-,-
5G,802.11acHT40,4,21,17,-19,-,7000,-7000,-,-
5G,802.11acHT40,5,21,17,-22,-,7000,-7000,-,-
5G,802.11acHT40,6,21,17,-25,-,7000,-7000,-,-
5G,802.11acHT40,7,21,17,-27,-,7000,-7000,-,-
5G,802.11acHT40,8,21,17,-30,-,7000,-7000,-,-
5G,802.11acHT40,9,21,17,-32,-,7000,-7000,-,-
5G,802.11acHT80,0,21,17,-5,-,7000,-7000,-,-
5G,802.11acHT80,1,21,17,-10,-,7000,-7000,-,-
5G,802.11acHT80,2,21,17,-13,-,7000,-7000,-,-
5G,802.11acHT80,3,21,17,-16,-,7000,-7000,-,-
5G,802.11acHT80,4,21,17,-19,-,7000,-7000,-,-
5G,802.11acHT80,5,21,17,-22,-,7000,-7000,-,-
5G,802.11acHT80,6,21,17,-25,-,7000,-7000,-,-
5G,802.11acHT80,7,21,17,-27,-,7000,-7000,-,-
5G,802.11acHT80,8,21,17,-30,-,7000,-7000,-,-
5G,802.11acHT80,9,21,17,-32,-,7000,-7000,-,-
5G,802.11acHT160,0,20,16,-5,-,7000,-7000,-,-
5G,802.11acHT160,1,20,16,-10,-,7000,-7000,-,-
5G,802.11acHT160,2,20,16,-13,-,7000,-7000,-,-
5G,802.11acHT160,3,20,16,-16,-,7000,-7000,-,-
5G,802.11acHT160,4,20,16,-19,-,7000,-7000,-,-
5G,802.11acHT160,5,20,16,-22,-,7000,-7000,-,-
5G,802.11acHT160,6,20,16,-25,-,7000,-7000,-,-
5G,802.11acHT160,7,20,16,-27,-,7000,-7000,-,-
5G,802.11acHT160,8,20,16,-30,-,7000,-7000,-,-
5G,802.11acHT160,9,20,16,-32,-,7000,-7000,-,-
