ChannelNumber,ChannelFreq (Hz),Anten1-Attenuator (dBm),Anten2-Attenuator (dBm)
1,2412,4.15,4.23 
2,2417,4.18,4.17 
3,2422,4.17,4.05 
4,2427,4.2,4.07 
5,2432,4.17,4.05 
6,2437,4.22,4.1 
7,2442,4.23,4.13 
8,2447,4.26,4.12 
9,2452,4.24,4.09 
10,2457,4.27,4.19 
11,2462,4.27,4.21 
12,2467,4.26,4.21 
13,2472,4.28,4.21 
16,5080,8.1,7.98 
34,5170,7.99,8.26 
36,5180,7.92,8.26 
38,5190,7.83,8.32 
40,5200,7.83,8.5 
42,5210,7.88,8.77 
44,5220,7.85,8.84 
46,5230,7.73,8.76 
48,5240,7.68,8.61 
50,5250,7.48,8.25 
52,5260,7.4,8.03 
54,5270,7.34,7.91 
56,5280,7.32,7.85 
58,5290,7.34,7.86 
60,5300,7.36,7.83 
62,5310,7.4,7.88 
64,5320,7.4,7.86 
100,5500,6.97,6.9 
102,5510,6.97,6.9 
104,5520,6.86,6.91 
106,5530,6.77,6.82 
108,5540,6.6,6.61 
110,5550,6.49,6.47 
112,5560,6.48,6.43 
114,5570,6.52,6.43 
116,5580,6.66,6.54 
118,5590,6.7,6.7 
120,5600,6.74,6.72 
122,5610,6.73,6.8 
124,5620,6.76,6.93 
126,5630,6.78,6.99 
128,5640,6.74,6.81 
132,5660,6.73,6.67 
134,5670,6.76,6.81 
136,5680,6.88,6.91 
138,5690,6.93,7.03 
140,5700,7,7.04 
142,5710,7.05,7.01 
144,5720,7.11,7.02 
149,5745,7.4,7.22 
151,5755,7.45,7.42 
153,5765,7.42,7.57 
155,5775,7.28,7.5 
157,5785,7.26,7.43 
159,5795,7.27,7.46 
161,5805,7.33,7.47 
165,5825,7.62,7.64 
169,5845,7.87,8.02 
173,5865,7.83,8.61 
184,4920,8.67,8.86
