Instrument,WIFI(b=0:g=1:ht20=3:ht40=3),MCS(0:7),Bandwidth(20M=0:40M=1),WaveForm
MT8870A,0,0,0,MV887030A_b_1_1024L
MT8870A,0,1,0,MV887030A_b_2_1024L
MT8870A,0,2,0,MV887030A_b_5p5_1024L
MT8870A,0,3,0,MV887030A_b_11_1024L
MT8870A,1,0,0,MV887030A_ag_6_1000
MT8870A,1,1,0,MV887030A_ag_9_1000
MT8870A,1,2,0,MV887030A_ag_12_1000
MT8870A,1,3,0,MV887030A_ag_18_1000
MT8870A,1,4,0,MV887030A_ag_24_1000
MT8870A,1,5,0,MV887030A_ag_36_1000
MT8870A,1,6,0,MV887030A_ag_48_1000
MT8870A,1,7,0,MV887030A_ag_54_1024
MT8870A,3,0,0,MV887030A_n_MCS0_20_4096L
MT8870A,3,1,0,MV887030A_n_MCS1_20_4096L
MT8870A,3,2,0,MV887030A_n_MCS2_20_4096L
MT8870A,3,3,0,MV887030A_n_MCS3_20_4096L
MT8870A,3,4,0,MV887030A_n_MCS4_20_4096L
MT8870A,3,5,0,MV887030A_n_MCS5_20_4096L
MT8870A,3,6,0,MV887030A_n_MCS6_20_4096L
MT8870A,3,7,0,MV887030A_n_MCS7_20_4096L
MT8870A,3,0,1,MV887030A_n_MCS0_40_4096L
MT8870A,3,1,1,MV887030A_n_MCS1_40_4096L
MT8870A,3,2,1,MV887030A_n_MCS2_40_4096L
MT8870A,3,3,1,MV887030A_n_MCS3_40_4096L
MT8870A,3,4,1,MV887030A_n_MCS4_40_4096L
MT8870A,3,5,1,MV887030A_n_MCS5_40_4096L
MT8870A,3,6,1,MV887030A_n_MCS6_40_4096L
MT8870A,3,7,1,MV887030A_n_MCS7_40_4096L
MT8870A,4,0,0,MV887031A_ac_MCS0_20_4096L
MT8870A,4,1,0,MV887031A_ac_MCS1_20_4096L
MT8870A,4,2,0,MV887031A_ac_MCS2_20_4096L
MT8870A,4,3,0,MV887031A_ac_MCS3_20_4096L
MT8870A,4,4,0,MV887031A_ac_MCS4_20_4096L
MT8870A,4,5,0,MV887031A_ac_MCS5_20_4096L
MT8870A,4,6,0,MV887031A_ac_MCS6_20_4096L
MT8870A,4,7,0,MV887031A_ac_MCS7_20_4096L
MT8870A,4,8,0,MV887031A_ac_MCS8_20_4096L
MT8870A,4,9,0,-
MT8870A,4,0,1,MV887031A_ac_MCS0_40_4096L
MT8870A,4,1,1,MV887031A_ac_MCS1_40_4096L
MT8870A,4,2,1,MV887031A_ac_MCS2_40_4096L
MT8870A,4,3,1,MV887031A_ac_MCS3_40_4096L
MT8870A,4,4,1,MV887031A_ac_MCS4_40_4096L
MT8870A,4,5,1,MV887031A_ac_MCS5_40_4096L
MT8870A,4,6,1,MV887031A_ac_MCS6_40_4096L
MT8870A,4,7,1,MV887031A_ac_MCS7_40_4096L
MT8870A,4,8,1,MV887031A_ac_MCS8_40_4096L
MT8870A,4,9,1,MV887031A_ac_MCS9_40_4096L
MT8870A,4,0,2,MV887031A_ac_MCS0_80_4096L
MT8870A,4,1,2,MV887031A_ac_MCS1_80_4096L
MT8870A,4,2,2,MV887031A_ac_MCS2_80_4096L
MT8870A,4,3,2,MV887031A_ac_MCS3_80_4096L
MT8870A,4,4,2,MV887031A_ac_MCS4_80_4096L
MT8870A,4,5,2,MV887031A_ac_MCS5_80_4096L
MT8870A,4,6,2,MV887031A_ac_MCS6_80_4096L
MT8870A,4,7,2,MV887031A_ac_MCS7_80_4096L
MT8870A,4,8,2,MV887031A_ac_MCS8_80_4096L
MT8870A,4,9,2,MV887031A_ac_MCS9_80_4096L
