ChannelNumber,ChannelFreq (Hz),Anten1-Attenuator (dBm),Anten2-Attenuator (dBm)
1,2412,1.23,0.61
2,2417,1.21,0.63
3,2422,1.23,0.61
4,2427,1.21,0.61
5,2432,1.22,0.63
6,2437,1.21,0.63
7,2442,1.24,0.62
8,2447,1.23,0.62
9,2452,1.25,0.62
10,2457,1.25,0.63
11,2462,1.27,0.62
12,2467,1.27,0.6
13,2472,1.32,0.59
34,5170,1.85,5.91
36,5180,1.92,5.53
38,5190,1.92,5.23
40,5200,2.03,4.98
42,5210,2.11,4.86
44,5220,2.19,4.72
46,5230,2.29,4.57
48,5240,2.35,4.58
50,5250,2.38,4.54
52,5260,2.39,4.45
54,5270,2.37,4.26
56,5280,2.35,4.14
58,5290,2.29,4
60,5300,2.25,3.82
62,5310,2.22,3.76
64,5320,2.24,3.65
100,5500,2.14,3.03
102,5510,2.15,2.83
104,5520,2.15,2.63
106,5530,2.16,2.44
108,5540,2.15,2.29
110,5550,2.17,2.18
112,5560,2.15,2.19
114,5570,2.13,2.14
116,5580,2.06,2.09
118,5590,2.07,2.05
120,5600,2.04,1.99
122,5610,2.12,1.93
124,5620,2.21,1.81
126,5630,2.28,1.86
128,5640,2.34,1.9
132,5660,2.39,1.89
134,5670,2.39,1.89
136,5680,2.41,1.82
138,5690,2.48,1.81
140,5700,2.46,1.82
142,5710,2.36,1.74
144,5720,2.31,1.71
149,5745,2.2,1.76
151,5755,2.23,1.82
153,5765,2.28,1.75
155,5775,2.3,1.79
157,5785,2.36,1.84
159,5795,2.42,1.82
161,5805,2.46,1.85
165,5825,2.54,2.15
169,5845,2.54,2.5
173,5865,2.41,2.88
