Channel,Freq,Anten1,Anten2
1,2412,41.71,41.49
2,2417,43.592,43.575
3,2422,43.59,43.65
4,2427,43.665,43.82
5,2432,43.555,43.898
6,2437,43.522,43.822
7,2442,43.488,43.433
8,2447,43.48,43.498
9,2452,43.11,43.518
10,2457,43.055,43.455
11,2462,43.462,43.293
12,2467,43.358,43.248
13,2472,43.09,43.21
34,5170,35.67,35.42
36,5180,36.055,35.285
38,5190,35.828,35.585
40,5200,35.955,35.528
42,5210,37.285,37.817
44,5220,37.51,37.372
46,5230,37.122,37.02
48,5240,36.948,37.035
50,5250,36.72,36.822
52,5260,37.067,36.66
54,5270,37.207,36.64
56,5280,37.075,36.5
58,5290,36.288,36.115
60,5300,37.992,38.008
62,5310,37.978,38.195
64,5320,38.145,38.142
100,5500,38.848,39.098
102,5510,39.195,38.818
104,5520,36.935,35.235
106,5530,33.098,33.83
108,5540,36.043,33.165
110,5550,36.982,36.995
112,5560,38.245,38.15
114,5570,38.14,38.125
116,5580,37.852,37.91
118,5590,38.282,37.975
120,5600,38.57,38.537
122,5610,37.602,38.742
124,5620,38.088,37.935
126,5630,37.122,37.787
128,5640,39.115,39.382
132,5660,37.722,39.042
134,5670,37.602,39.518
136,5680,37.638,39.358
138,5690,38.475,37.422
140,5700,37.758,37.702
142,5710,37.438,37.28
144,5720,36.172,38.018
149,5745,36.475,37.702
151,5755,34.882,37.248
153,5765,33.215,37.202
155,5775,35.037,34.172
157,5785,37.288,35.412
159,5795,35.29,34.495
161,5805,33.838,35.315
165,5825,33.118,35.15
169,5845,29.282,28.345
173,5865,-14.868,-14.788
